Time,Content
2018-11-29,下午见证什么才是金山银山 东江环保惊天一跃惹眼未来投资永恒主题！大湾区生态龙头提前启动了大牛股不要庄更涨得欢！东江环保开启散户价值投资集结号！成熟投资者不跟风永记一句话：你对不要庄更涨得欢！东江环保开启散户价值投资集结号！成熟投资者不跟风永记一句话：你对未来持有信心则你的选择更正确则你持股更坚定则该股必是有价值者联盟体！没有谁能操纵一只优质股！只要你选择了永恒！投资就这么简单的你能否确信既定事实....大湾区是未来城市群世界样板...生态环境保护人人遵守规则...生态标杆必投巨资打造才有可行...必将推动国有化龙头生态治理公司运作模式...:东江环保在前行或履行上述目标战略...龙头必须是生态全产业链放科技创新龙头......必须走国际合作道路共享生态治理技术...你确信后只做一件事永久持股直到你确实需要钱否则可以再永久直到终老直到下一代行动在每一个人环保股必有可为之气节你会幸福的
2019-01-03,拋光券商正当时！环保19杠大旗！粤港澳大湾区来了生态牛来了无业绩券商早盘冲高大幅回落，主力资金疯抢大湾区环保股龙头东江环保发力拉升有故事！粤港澳大湾区生态优先战略规划提前布局有前景

2019-01-03,突然发现 吧里看多的明显多了呀

2019-01-03,一直都是 不管咋跌 总是一堆人看多 这吧也是奇葩
2019-01-03,不管京东方在怎么虐 千百遍 也待她如初恋 拥护者很多
2019-01-03,嗯你說啥？看多的多了。但是不妙。是不是迴光返照呢？如此真的很不妙。

2019-01-03,刚才什么情况[为什么][为什么][为什么]

2019-01-03,散了吧就这样了。。

2019-01-03,图解：科大讯飞、京东方、博雅生物、乾照光电、华夏航空

2019-01-03,小京冲鸭现在最需要的是一鸣惊人！

2019-01-03,越跌越买 发工资还买

2019-01-03,偷偷的吃一大口，又偷偷地吃一大口

2019-01-03,本次调整目标价为2.46上次为2.52，同志们别慌着进

2019-01-03,横，则继续跌……

2019-01-03,大蓝筹石化保险银行，大消费概念白酒医药，家电已死！中兴通讯，回调逢低，分批次低吸

2019-01-03,癌股之中你最废

2019-01-03,棺材板又压上了

2019-01-03,

2019-01-03,没有核心技术的垃圾，设备是棒子的，生产线日本的，核心技术也是棒子的，和大多数披着

2019-01-03,京东方 数十年来除了坑韭菜散户，还做了什么？
2019-01-03,垃圾公司

2019-01-03,韩国宣布管制OLED生产设备出口 来源:爱集微 集微网消息，根据韩国媒体《Bus

2019-01-03,垃圾玩意
2019-01-03,这不就卡住京东放了？
2019-01-03,完了

2019-01-03,烂货就是烂货你看见大盘在反弹了吗，再看看你动没

2019-01-03,每天来慰问一下，屮尼马

2019-01-03,”魔力屏“产能竞赛开场，京东方逆势扩产胜算几何？

2019-01-03,人有多大胆，地有多大产。每个成功的人都是逆风而行，当然也可能是深渊巨口

2019-01-03,奶奶的，早盘大盘诱多，现在又探底了

2019-01-03,。上午橫盤。尾盤有小的漲幅。

2019-01-03,跌吧！跌到两块我卖房全仓干你！

2019-01-03,真到两块，还不知道是她干你还是你干她

2019-01-03,大概率是京东方底了，除非大盘接着往下跳，以前都是跟跌不跟涨的，小心不要踏空

2019-01-03,耐心等 5元见

2019-01-03,这股再跌1.6就可以退市了

2019-01-03,癌症患者，晚期

2019-01-03,能装逼，胡咧咧，股市老兵725第一位

2019-01-03,新兵蛋子是拉客户收费的，大家小心，多翻翻他帖子看看
2019-01-03,a股标兵 京东方
2019-01-03,大家注意了，股市新兵是收费的，注意了

2019-01-03,8K 5G 最强组合来了！京东方和联通战略合作

2019-01-03,面板全球的主要玩家只有四个，中国大陆、韩国、中国台湾地区和日本。根据IHS的预测，到2019年，中国大陆的面板产能占全球的39%，韩国占30%，中国台湾地区占24%，日本占7%。

2019-01-03,做了个反踢 哎 丢啦100股

2019-01-03,成功了两次 一次又倒亏 哎 我是成功赚半分 失败丢一分半 有钱就补吧 再踢就飞了 4.53的本 从2000股一路补到16000股
2019-01-03,六元 留到现在 不容易啊
2019-01-03,你不是5.5的本嘛，怎么现在成了4.5
2019-01-03,发工资又补啦 昨天大跌 今天看啦下 想踢 结果丢啦100股

2019-01-02,A股~还欠我们散户一个~大牛市[俏皮][俏皮][俏皮]京东方A~还欠我们散户一个

2019-01-03,2019A股的~转折之年2019京东方A的~锻造之年2019理性中长线散户投资者的~狂欢之年！！！
2019-01-03,当很久以后你们会发现，这小子讲的话是很对(^o^)
2019-01-03,
2019-01-03,只能说~本观点~没有问题！！！

2019-01-03,首家数字化医院开张，京东方进军智慧健康

2019-01-03,这股今年也很难反弹了，2元以下看样子是要跌的

2019-01-03,换股豫光金铅去了

2019-01-03,不跌不买。

2019-01-03,咋不往下砸？气人！我想低位买都不行。

2019-01-03,今天是今天，明天是明天！！！

2019-01-03,284284284

2019-01-03,老李股市日记--20190102

2019-01-03,老李股市日记--20190102

2019-01-03,磨呀磨!

2019-01-03,"""韭菜根克星~先生"":""韭菜根""所有警示语录~面向公众开放[俏皮][俏皮][俏皮"

2019-01-03,提倡~理性投资反对~非理性盲目分析预测与以

2019-01-01,"""韭菜根克星~先生""与""珠海炒股人~先生"":今天是2019年的第一天~但你们还记"

2019-01-01,他们都是
2019-01-01,煞笔
2019-01-02,2019
2019-01-02,事实胜于雄辩！！！
2019-01-03,提倡~理性投资反对~非理性盲目分析预测与以

2019-01-03,绝了，京东方

2019-01-03,公告，本股东从即日起将在十五个交易日内，减持10000.00股，特此公告

2019-01-03,此股庄家控盘技术堪比我国高铁技术，牛逼

2019-01-03,"""韭菜根克星~先生""：你们每天用N个马甲~上下忽悠[俏皮][俏皮][俏皮]你们每"

2019-01-03,笑看~股市笑看~股吧百态笑看~京东方A！！！
2019-01-03,笑看~股市笑看~股吧百态笑看~京东方A！！！
2019-01-03,你们~快乐吗！！！
2019-01-03,
2019-01-03,
2019-01-03,提倡~理性投资反对~非理性盲目分析预测与以

2019-01-03,我就想知道这个股票要跌到多少

2019-01-02,新年新气象！金星伴月，星月同辉！[微笑]

2019-01-02,北京今早拍到的，从来没有遇到过，预示着什么呢？
2019-01-02,楼主你拍的？
2019-01-03,不是俺，是老公昨天早上拍的。。。

2019-01-03,快卖！2.50必破！

2019-01-03,今天搞不好停

2019-01-03,今天竞价买的不对头

2019-01-03,"""股友xs9nfC~先生""：心态~永远是入市的第一要素[俏皮][俏皮][俏皮]你"

2019-01-03,笑看~股市笑看~股吧百态笑看~京东方A！！！
2019-01-03,笑看~股市笑看~股吧百态笑看~京东方A！！！

2019-01-03,我希望每天都是 低开高走...[拜神]

2019-01-03,我提出一个问题，千年韭菜根每天刷出大量旧帖该不该禁言？(置顶)

2019-01-03,顶
2019-01-03,该

2019-01-03,抄底，满仓干[胜利][胜利][胜利][胜利][胜利]

2019-01-03,"2019""韭菜根""的笑声~"

2019-01-03,狗嘴吐不出象牙的韭菜根。

2019-01-02,你妹，股价都不如乐视

2019-01-02,乐视是大国重器
2019-01-02,我已经买了

2019-01-03,呼吁大家，我们所有人一起举报＂渣渣＂韭菜根？举报内容一栏，有一栏内容为＂恶意灌水

2019-01-03,支持

2019-01-04,京东方A01月03日深股通减持95.13万股

2019-01-04,又减持，bastard
2019-01-04,小心外资搞破坏。
